,count,mean,std,min,25%,50%,75%,max,,,
PatientID,5000,2499.5,1443.520003,0,1249.75,2499.5,3749.25,4999,,,DROP
AgeGroup,5000,3.3046,1.160727486,0,3,3,4,8,OUTLIERS,NORMALIZE - 0-1,
AvgHouseholdExpenseOnPresents,5000,549.4059284,137.2173922,111.09447,481.4526468,549.4059284,630.5529714,977.0773977,,NORMALIZE - 0-1,
AvgHouseholdExpenseOnSocialGames,5000,1098.928489,274.633113,261.258274,955.7843044,1098.928489,1266.50272,1893.719268,OUTLIERS,NORMALIZE - 0-1,
AvgHouseholdExpenseParkingTicketsPerYear,5000,1132.226045,274.6992044,151.7529609,950.8979594,1132.226045,1346.503023,2142.216518,OUTLIERS,NORMALIZE - 0-1,
AvgMinSportsPerDay,5000,96.81559558,48.0667166,3.454840394,61.87129845,96.81559558,124.3546568,305.0005131,OUTLIERS,NORMALIZE - 0-1,
AvgTimeOnSocialMedia,5000,317.4708948,535.4542307,0,317.4708948,317.4708948,317.4708948,18498.19024,OUTLIERS,NORMALIZE - 0-1,
AvgTimeOnStuding,5000,181.8637691,41.08514124,0.381134007,181.8637691,181.8637691,181.8637691,360,OUTLIERS,NORMALIZE - 0-1,
BMI,5000,31.48737446,23.23693386,13.74374304,27.03617316,30.41098602,31.48737446,434.1498462,OUTLIERS,NORMALIZE - 0-1,
DateOfPCRTest,5000,1.59E+18,6.11E+15,1.58E+18,1.59E+18,1.59E+18,1.60E+18,1.60E+18,,NORMALIZE - 0-1,
DisciplineScore,5000,5.2338,4.025168066,0,4,5,6,80,OUTLIERS  *,NORMALIZE - 0-1,
HappinessScore,5000,6.4294,1.531105645,1,5,7,7,10,,NORMALIZE - 0-1,
NrCousins,5000,15.93877039,3.575635472,4,14,15.93877039,18,27,,NORMALIZE - 0-1,
Sex,5000,-0.2064,0.978565561,-1,-1,-1,1,1,,,
StepsPerYear,5000,11721031.01,5778794.651,740109.7698,7656063.82,11721031.01,14974131.58,37230000,OUTLIERS,NORMALIZE - 0-1,
TimeOnSocialActivities,5000,54.52481485,14.6341958,0.278251349,47.51261655,54.52481485,63.27631351,95.44762561,OUTLIERS,NORMALIZE - 0-1,
